3.002 -0.064 0.383
-11.191 0.317 0.284
-15.985 -0.656 0.223
-9.515 -0.215 0.289
-8.808 -1.039 0.376
5.591 0.769 0.269
4.466 0.693 0.286
-7.251 -0.511 0.217
6.368 0.727 0.204
-2.990 1.082 0.221
-8.038 -0.960 0.216
-17.371 -0.841 0.245
-1.223 -0.771 0.264
5.092 1.124 0.262
-19.024 -0.329 0.331
-6.858 -0.473 0.235
-15.574 -0.397 0.349
-4.070 1.429 0.361
-5.060 1.009 0.200
5.812 0.847 0.224
5.373 0.665 0.331
-15.612 -0.123 0.345
9.021 -0.588 0.290
2.668 0.091 0.284
0.307 -1.399 0.248
-4.326 0.823 0.318
1.232 -1.247 0.311
-3.305 0.886 0.237
-17.100 -1.196 0.313
-2.000 0.176 0.342
1.826 -0.462 0.221
-15.188 -0.235 0.323
-13.405 1.181 0.211
-12.512 0.977 0.276
-0.947 -0.284 0.264
-16.418 -0.699 0.339
-1.722 -0.077 0.240
-8.989 -1.012 0.380
-15.357 -0.044 0.214
2.866 0.295 0.306
-1.253 -0.181 0.337
5.699 0.709 0.245
7.517 -0.398 0.387
-3.752 0.867 0.234
-6.678 -0.043 0.301
-11.960 0.769 0.234
6.592 0.678 0.392
-12.107 1.286 0.267
2.077 -0.310 0.263
9.124 -0.769 0.303
-19.581 -0.092 0.215
7.756 -0.198 0.349
-4.339 0.651 0.304
-12.755 1.262 0.307
-5.385 0.900 0.276
-0.208 -0.662 0.258
-10.972 0.323 0.220
-14.213 0.749 0.338
-16.613 -1.479 0.341
-13.140 1.347 0.281
